Samples,TimeSeconds,TimeDays,Benchmark_alpha0.02,Manuscript_alpha1e-6
374,374,0.0043287037037037035,0.99947693903705936,0.00037393025765908305
389,389,0.0045023148148148149,0.99961368333397205,0.00038892454374539476
405,405,0.0046874999999999998,0.9997203848777021,0.00040491820100030385
422,422,0.0048842592592592592,0.99980166290760086,0.00042191118144718764
439,439,0.0050810185185185186,0.99985931518332027,0.00043890387301559475
457,457,0.0052893518518518515,0.99990220501341076,0.00045689581981445127
476,476,0.0055092592592592589,0.99993337886464828,0.0004758869678734845
495,495,0.0057291666666666663,0.99995461550913456,0.00049487775510392851
516,516,0.0059722222222222225,0.9999703069330621,0.00051586715277696094
537,537,0.0062152777777777779,0.9999805731383703,0.00053685610967701969
559,559,0.0064699074074074077,0.9999875440656063,0.00055884406796880004
582,582,0.0067361111111111111,0.99999217334747703,0.00058183096169905912
606,606,0.007013888888888889,0.99999518050127567,0.00060581672191928337
631,631,0.0073032407407407404,0.99999709160250472,0.00063080127668602159
657,657,0.0076041666666666671,0.99999827998699753,0.000656784551061107
684,684,0.0079166666666666673,0.99999900313631862,0.00068376646711254541
712,712,0.0082407407407407412,0.99999943380517831,0.0007117469439139601
741,741,0.0085763888888888886,0.99999968484653379,0.00074072589754603513
772,772,0.0089351851851851849,0.99999983152695149,0.00077170247039304307
804,804,0.0093055555555555548,0.99999991173981029,0.00080367728030261709
837,837,0.0096874999999999999,0.99999995468673519,0.00083665023138312922
871,871,0.010081018518518519,0.99999997720120315,0.00087062122475156656
907,907,0.010497685185185185,0.9999999889833221,0.0009065892529441788
944,944,0.010925925925925926,0.99999999478306467,0.00094355504375442933
983,983,0.011377314814814814,0.99999999762735692,0.00098251750481714861
1023,1023,0.011840277777777778,0.99999999894251201,0.0010224774248942525
1065,1065,0.012326388888888888,0.99999999954734153,0.0010644336207354943
1109,1109,0.012835648148148148,0.99999999981391219,0.0011083858406776281
1155,1155,0.013368055555555555,0.99999999992652877,0.0011543338210926457
1202,1202,0.013912037037037037,0.99999999997157218,0.001201278487668378
1252,1252,0.014490740740740742,0.9999999999896475,0.0012512172002365762
1303,1303,0.015081018518518518,0.99999999999630529,0.0013021521147769111
1357,1357,0.015706018518518518,0.99999999999875899,0.0013560803694524504
1413,1413,0.016354166666666666,0.99999999999959965,0.0014120028910694638
1471,1471,0.017025462962962964,0.99999999999987599,0.0014699193442682112
1531,1531,0.017719907407407406,0.99999999999996314,0.0015298293817452846
